id,Geographic Area Name,Labor Force Participation Rate
0500000US17113,"McLean County, Illinois",63.8
0500000US17161,"Rock Island County, Illinois",62.7
0500000US18157,"Tippecanoe County, Indiana",63.6
0500000US18177,"Wayne County, Indiana",58.4
0500000US19193,"Woodbury County, Iowa",68.5
0500000US21145,"McCracken County, Kentucky",56.6
0500000US22073,"Ouachita Parish, Louisiana",57.1
0500000US23001,"Androscoggin County, Maine",65.1
0500000US27037,"Dakota County, Minnesota",71.9
0500000US27123,"Ramsey County, Minnesota",68.1
0500000US36015,"Chemung County, New York",57.0
0500000US42097,"Northumberland County, Pennsylvania",58.7
0500000US46103,"Pennington County, South Dakota",65.6
0500000US48037,"Bowie County, Texas",52.9
0500000US48141,"El Paso County, Texas",62.4
0500000US49053,"Washington County, Utah",53.7
0500000US51003,"Albemarle County, Virginia",60.1
0500000US51680,"Lynchburg city, Virginia",56.9
0500000US53063,"Spokane County, Washington",61.4
0500000US55097,"Portage County, Wisconsin",65.1
0500000US01043,"Cullman County, Alabama",56.2
0500000US06037,"Los Angeles County, California",65.0
0500000US06061,"Placer County, California",59.2
0500000US09013,"Tolland County, Connecticut",62.7
0500000US10005,"Sussex County, Delaware",55.3
0500000US13031,"Bulloch County, Georgia",58.8
0500000US13115,"Floyd County, Georgia",51.3
0500000US13217,"Newton County, Georgia",61.4
0500000US17031,"Cook County, Illinois",66.3
0500000US21047,"Christian County, Kentucky",62.3
0500000US25011,"Franklin County, Massachusetts",64.6
0500000US25013,"Hampden County, Massachusetts",58.8
0500000US26155,"Shiawassee County, Michigan",60.4
0500000US29047,"Clay County, Missouri",68.9
0500000US30063,"Missoula County, Montana",71.3
0500000US30111,"Yellowstone County, Montana",65.8
0500000US36045,"Jefferson County, New York",63.1
0500000US39063,"Hancock County, Ohio",68.9
0500000US39151,"Stark County, Ohio",61.9
0500000US42005,"Armstrong County, Pennsylvania",57.7
0500000US48139,"Ellis County, Texas",67.3
0500000US48201,"Harris County, Texas",67.3
0500000US48291,"Liberty County, Texas",50.6
0500000US48479,"Webb County, Texas",59.7
0500000US51095,"James City County, Virginia",57.8
0500000US51161,"Roanoke County, Virginia",61.2
0500000US55059,"Kenosha County, Wisconsin",68.5
0500000US06033,"Lake County, California",N
0500000US06075,"San Francisco County, California",71.8
0500000US08123,"Weld County, Colorado",69.6
0500000US12005,"Bay County, Florida",61.0
0500000US13015,"Bartow County, Georgia",63.0
0500000US20015,"Butler County, Kansas",61.5
0500000US20103,"Leavenworth County, Kansas",60.5
0500000US20161,"Riley County, Kansas",71.6
0500000US25015,"Hampshire County, Massachusetts",62.5
0500000US29031,"Cape Girardeau County, Missouri",66.3
