id,Geographic Area Name,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over
0500000US18109,"Morgan County, Indiana",9337,3060,16262,5477,24126,55743,53854,51903,16282,14508,11732,4551
0500000US19049,"Dallas County, Iowa",14750,4280,25588,6333,37933,67610,64592,62548,13977,12645,10686,4380
0500000US23011,"Kennebec County, Maine",13122,4048,23001,10371,42616,102156,99082,95086,34835,31132,24870,10243
0500000US26049,"Genesee County, Michigan",51499,16319,91553,34838,148312,325944,315339,299827,100363,86808,71160,30023
0500000US26087,"Lapeer County, Michigan",10274,3851,18300,6814,29860,72141,69728,66942,23458,20202,15967,5996
0500000US26145,"Saginaw County, Michigan",22676,7232,40848,18976,70240,154763,149952,139905,49620,44876,36766,15892
0500000US30013,"Cascade County, Montana",9779,2700,17900,7105,31327,65079,63743,61031,21369,19261,15005,6604
0500000US32003,"Clark County, Nevada",292165,85544,517629,183810,910272,1770261,1714018,1633695,455810,404922,328690,127221
0500000US36007,"Broome County, New York",20669,6280,36745,25683,74880,159298,154914,142687,50916,43959,36793,17176
0500000US36027,"Dutchess County, New York",30908,11022,55347,32112,111956,245515,238371,224348,73499,64558,51573,22356
0500000US37023,"Burke County, North Carolina",10040,3018,17172,6279,31699,75242,73210,70957,25163,22421,18047,8006
0500000US37035,"Catawba County, North Carolina",20301,6047,35042,12527,57164,127730,123610,116574,38987,34702,28020,11121
0500000US37125,"Moore County, North Carolina",10705,5078,20853,6598,33337,81077,77829,73999,31121,28684,23584,10893
0500000US39009,"Athens County, Ohio",5412,1652,9575,19064,35146,57409,56243,45850,12145,10990,8637,3366
0500000US39023,"Clark County, Ohio",16943,5304,30121,12130,48422,108194,104464,98167,35238,31705,25957,11072
0500000US39099,"Mahoning County, Ohio",24481,9425,46144,21093,81476,191068,183498,173763,67101,59908,48140,21634
0500000US45051,"Horry County, South Carolina",34973,10657,61592,26473,115831,289323,282555,269228,111519,100309,83231,27876
