id,Geographic Area Name,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over
0500000US37157,"Rockingham County, North Carolina",5086,1614,8400,3699,16001,39561,38333,36359,14405,13135,10462,4675
0500000US39155,"Trumbull County, Ohio",10952,3681,19849,7145,32576,84785,82179,79115,31972,28829,24327,11046
0500000US42019,"Butler County, Pennsylvania",10369,3179,18147,8114,32393,78770,76703,72649,26906,23883,19205,8996
0500000US42049,"Erie County, Pennsylvania",16133,4793,29029,12440,50508,112788,109368,103259,36581,32674,26929,12350
0500000US42079,"Luzerne County, Pennsylvania",17290,5578,31158,13122,55260,133407,129743,123264,47200,42359,36083,17395
0500000US45055,"Kershaw County, South Carolina",3580,1627,6380,2468,11423,27737,26406,25557,8569,8103,6721,2671
0500000US51107,"Loudoun County, Virginia",32582,9484,56388,14644,84829,155130,148811,143140,31569,26626,21021,8581
0500000US72135,"Toa Alta Municipio, Puerto Rico",4179,1433,6576,3695,15211,N,30097,28749,7920,7090,5657,2419
0500000US01073,"Jefferson County, Alabama",40592,11779,73166,29506,134634,283036,273975,261361,86466,76076,61174,26996
0500000US04013,"Maricopa County, Arizona",291319,87381,515073,198699,888822,1774356,1713777,1628055,498345,444934,367565,158450
0500000US05069,"Jefferson County, Arkansas",4208,1463,7675,3529,12789,28101,26999,24915,9253,8243,6600,2870
0500000US05145,"White County, Arkansas",4548,1648,8478,4632,16149,33435,32139,29801,9504,8145,6914,3130
0500000US06079,"San Luis Obispo County, California",13421,4427,24208,20740,54358,118877,116048,106100,40864,36732,30830,12394
0500000US08014,"Broomfield County, Colorado",4399,1674,7839,1896,14005,N,26718,26080,7059,6641,5462,2221
0500000US09009,"New Haven County, Connecticut",47759,15559,84790,42692,167731,370403,359887,339205,118131,103555,85209,40074
0500000US12061,"Indian River County, Florida",5654,1483,10890,4408,21285,70842,69982,67396,37377,33332,27728,12839
0500000US13021,"Bibb County, Georgia",10033,2548,17609,8173,30959,64826,62489,58675,19428,17905,14008,6164
0500000US13089,"DeKalb County, Georgia",47106,13611,87144,32981,169553,321488,312471,300879,80910,70764,55458,21035
0500000US13127,"Glynn County, Georgia",5999,1412,10156,3926,16574,37559,36285,34570,12646,10878,9450,3681
0500000US16001,"Ada County, Idaho",32142,9295,53074,20136,95458,187420,180996,171067,49424,44836,36718,14823
0500000US17111,"McHenry County, Illinois",20078,6772,34722,11901,55778,124291,119891,115042,34921,29971,24439,9718
0500000US17179,"Tazewell County, Illinois",8493,2453,14586,4711,23250,54276,52736,50825,19078,17099,14074,6515
0500000US18053,"Grant County, Indiana",3898,1104,7016,4437,12654,28731,27706,25767,9504,8632,7028,3564
0500000US18081,"Johnson County, Indiana",11289,3258,19174,6690,30730,62704,60930,58102,17948,15311,12784,5535
0500000US19103,"Johnson County, Iowa",7576,2055,13733,16815,38434,63107,61849,55174,14441,12720,9993,4313
0500000US26099,"Macomb County, Michigan",49752,16918,90031,34847,163825,370296,359005,345753,115413,102080,84269,38841
0500000US27131,"Rice County, Minnesota",3959,1177,6913,4860,13062,26099,25414,22398,7851,7287,5688,2604
0500000US29051,"Cole County, Missouri",5115,1209,8677,3094,13166,N,29549,27923,9615,8427,7391,3114
0500000US29071,"Franklin County, Missouri",6026,2111,11396,3675,17840,41277,40027,38546,13888,12000,9782,4361
0500000US33017,"Strafford County, New Hampshire",6298,2438,12135,11191,28869,56065,54881,47266,14775,12760,10698,4677
0500000US36067,"Onondaga County, New York",26398,8908,48308,25185,91473,196641,190765,178995,61673,54296,44531,20797
0500000US36069,"Ontario County, New York",5944,1959,10715,4645,18625,46632,45420,43436,16367,14431,12088,5342
0500000US37069,"Franklin County, North Carolina",4228,1836,7962,2235,12036,N,27174,26524,8783,7742,6549,2311
0500000US37161,"Rutherford County, North Carolina",3713,1391,6758,2622,11300,29218,28085,26749,10735,9216,7561,3347
0500000US39169,"Wayne County, Ohio",7832,2278,13733,5718,20798,46297,44790,42281,14919,13441,11076,5164
0500000US41019,"Douglas County, Oregon",5878,1885,10604,3624,17323,46842,45346,43854,19486,17262,14676,6288
0500000US42055,"Franklin County, Pennsylvania",9738,2611,16668,6053,28208,64599,62432,59279,21805,19154,16534,7862
0500000US42133,"York County, Pennsylvania",27505,8320,47836,18067,80259,184568,178455,171050,59567,53427,42997,19037
0500000US44007,"Providence County, Rhode Island",34669,11182,63597,34622,132746,270816,262881,246453,78073,68094,55838,27195
0500000US45013,"Beaufort County, South Carolina",9748,3249,18357,6905,30358,81944,79261,77037,34005,31828,27576,10951
0500000US47125,"Montgomery County, Tennessee",14832,3526,26644,10692,47386,78740,76512,71834,15419,12849,9815,4402
0500000US47165,"Sumner County, Tennessee",11208,3390,20285,6544,34813,76278,74317,70870,22700,20108,16488,7192
0500000US48251,"Johnson County, Texas",12376,3716,21861,6591,32598,66709,63944,61205,17496,15965,12811,5438
0500000US48309,"McLennan County, Texas",16905,5218,30633,18077,56047,103566,99743,92378,27995,25766,20574,9370
0500000US48397,"Rockwall County, Texas",7658,2411,13323,3797,21275,39770,38412,36274,9340,8122,6634,2750
0500000US48409,"San Patricio County, Texas",4696,1360,8365,2814,12477,25246,24505,23403,7011,6562,5418,2302
0500000US49049,"Utah County, Utah",56443,15703,100893,51721,150033,217070,206876,187206,36204,32385,25825,10765
0500000US51179,"Stafford County, Virginia",11009,3756,19745,6867,30583,57291,55136,52323,11928,10268,8226,2762
0500000US51510,"Alexandria city, Virginia",6987,1942,14400,5233,41346,70237,69043,67370,15237,12672,11000,5342
0500000US53077,"Yakima County, Washington",20908,5756,36553,11773,49474,92518,89659,85189,25557,22879,18689,7708
0500000US72025,"Caguas Municipio, Puerto Rico",6662,2359,11327,5751,24739,57369,55346,52814,19417,17216,15069,7364
0500000US01089,"Madison County, Alabama",21813,6822,39173,16403,72326,153479,148382,140725,42152,37593,31509,13889
0500000US06087,"Santa Cruz County, California",14146,4835,25736,21378,58492,117430,113653,101804,33990,29507,24270,9548
0500000US12085,"Martin County, Florida",7185,2459,13096,4755,21187,69869,68709,66333,33977,31225,26934,14137
0500000US15003,"Honolulu County, Hawaii",55964,15205,100999,40059,186897,395874,386168,371230,127824,114491,96807,47038
0500000US16055,"Kootenai County, Idaho",10707,2874,18629,5899,29184,65521,63785,60558,21121,20071,16371,6794
