id,Geographic Area Name,total_households,smartphone_households,smartphone_ownership
0500000US42055,"Franklin County, Pennsylvania",59834,45295,0.7570110639435772
0500000US42133,"York County, Pennsylvania",173958,143224,0.8233251704434403
0500000US44007,"Providence County, Rhode Island",237038,189910,0.8011795577080468
0500000US45013,"Beaufort County, South Carolina",74679,66116,0.88533590433723
0500000US47125,"Montgomery County, Tennessee",72973,65720,0.9006070738492319
0500000US47165,"Sumner County, Tennessee",68439,59197,0.8649600374055728
0500000US48251,"Johnson County, Texas",59180,53968,0.9119297059817506
0500000US48309,"McLennan County, Texas",92158,76230,0.8271663881594653
0500000US48397,"Rockwall County, Texas",34590,33090,0.9566348655680833
0500000US48409,"San Patricio County, Texas",22202,17978,0.8097468696513828
0500000US49049,"Utah County, Utah",171117,161875,0.9459901704681593
0500000US51179,"Stafford County, Virginia",48418,45347,0.9365731752653972
0500000US51510,"Alexandria city, Virginia",71740,64906,0.904739336492891
0500000US53077,"Yakima County, Washington",83320,69210,0.8306529044647144
0500000US72025,"Caguas Municipio, Puerto Rico",47374,34728,0.7330603284502047
0500000US01089,"Madison County, Alabama",152723,132790,0.8694826581457934
0500000US06087,"Santa Cruz County, California",94994,82515,0.8686338084510601
0500000US12085,"Martin County, Florida",63070,53055,0.8412081813857618
0500000US15003,"Honolulu County, Hawaii",308208,269251,0.8736015937289103
0500000US16055,"Kootenai County, Idaho",64955,54274,0.8355630821337849
0500000US17113,"McLean County, Illinois",65998,59641,0.9036788993605867
0500000US17161,"Rock Island County, Illinois",61009,50319,0.8247799504991067
0500000US18157,"Tippecanoe County, Indiana",70446,63728,0.9046361752264146
0500000US18177,"Wayne County, Indiana",28338,22105,0.7800479920954195
0500000US19193,"Woodbury County, Iowa",39253,31624,0.8056454283749013
0500000US21145,"McCracken County, Kentucky",27650,23327,0.8436528028933092
0500000US22073,"Ouachita Parish, Louisiana",55599,42260,0.7600856130505944
0500000US23001,"Androscoggin County, Maine",44897,34244,0.76272356727621
0500000US27037,"Dakota County, Minnesota",162496,144764,0.8908773139031114
0500000US27123,"Ramsey County, Minnesota",209287,177221,0.8467845590027092
0500000US36015,"Chemung County, New York",34325,26418,0.7696431172614713
0500000US42097,"Northumberland County, Pennsylvania",38816,27900,0.7187757625721352
0500000US46103,"Pennington County, South Dakota",44794,36068,0.8051971246149038
0500000US48037,"Bowie County, Texas",35228,26724,0.7586011127512207
0500000US48141,"El Paso County, Texas",270160,232160,0.8593426117856086
0500000US49053,"Washington County, Utah",59863,51173,0.8548352070561115
0500000US51003,"Albemarle County, Virginia",41956,36047,0.8591619792163219
0500000US51680,"Lynchburg city, Virginia",28500,23785,0.834561403508772
0500000US53063,"Spokane County, Washington",206191,176624,0.8566038284891193
0500000US55097,"Portage County, Wisconsin",29193,23409,0.8018703113760148
0500000US01043,"Cullman County, Alabama",30323,24088,0.7943805032483593
0500000US06037,"Los Angeles County, California",3313908,2933995,0.8853580123527871
0500000US06061,"Placer County, California",144691,130357,0.9009337139144799
0500000US09013,"Tolland County, Connecticut",55619,46924,0.8436685305381255
0500000US10005,"Sussex County, Delaware",93479,75321,0.8057531638121931
0500000US13031,"Bulloch County, Georgia",27097,22820,0.8421596486695945
0500000US13115,"Floyd County, Georgia",34672,27356,0.7889940009229349
0500000US13217,"Newton County, Georgia",38436,35271,0.9176553231345613
0500000US17031,"Cook County, Illinois",1981796,1693495,0.8545253901006965
0500000US21047,"Christian County, Kentucky",26114,21449,0.8213601899364326
0500000US25011,"Franklin County, Massachusetts",30391,22684,0.74640518574578
0500000US25013,"Hampden County, Massachusetts",178678,137938,0.7719920751295627
0500000US26155,"Shiawassee County, Michigan",28218,23134,0.8198313133460912
0500000US29047,"Clay County, Missouri",91901,81311,0.8847673039466383
0500000US30063,"Missoula County, Montana",50401,43606,0.8651812464038412
0500000US30111,"Yellowstone County, Montana",66805,54223,0.8116608038320485
0500000US36045,"Jefferson County, New York",44657,36519,0.8177665315628009
0500000US39063,"Hancock County, Ohio",31606,26297,0.8320255647661836
0500000US39151,"Stark County, Ohio",152210,121862,0.8006175678339137
0500000US42005,"Armstrong County, Pennsylvania",27332,19212,0.7029123371871798
0500000US48139,"Ellis County, Texas",58633,53645,0.9149284532601095
0500000US48201,"Harris County, Texas",1600357,1427346,0.8918922465424902
0500000US48291,"Liberty County, Texas",27468,21268,0.7742828018057376
