id,Geographic Area Name,Less than 10 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 44 minutes,45 to 59 minutes,60 or more minutes,Mean travel time to work (minutes)
0500000US45091,"York County, South Carolina",11.4,12.6,13.2,12.9,7.1,13.9,8.5,11.4,8.9,27.6
0500000US48441,"Taylor County, Texas",24.7,27.6,25.2,12.1,1.3,3.8,1.0,1.4,2.9,16.1
0500000US48471,"Walker County, Texas",12.3,9.9,15.0,18.7,4.8,11.7,7.9,14.1,5.6,26.5
0500000US50007,"Chittenden County, Vermont",13.9,18.7,18.5,14.9,7.3,12.5,5.6,4.7,3.9,21.3
0500000US51740,"Portsmouth city, Virginia",10.7,14.3,18.4,14.3,6.9,16.8,4.2,10.0,4.4,23.7
0500000US54107,"Wood County, West Virginia",14.6,20.2,19.4,17.4,6.1,10.2,3.3,2.9,6.0,21.9
0500000US56025,"Natrona County, Wyoming",21.0,29.6,24.7,12.2,2.5,5.8,0.6,1.3,2.2,15.4
0500000US01055,"Etowah County, Alabama",12.7,18.7,20.3,14.0,7.9,8.0,3.8,6.6,7.8,23.8
0500000US01081,"Lee County, Alabama",11.5,16.1,23.0,16.6,5.6,11.8,4.8,7.5,3.1,22.0
0500000US02020,"Anchorage Municipality, Alaska",14.5,21.3,26.0,17.4,4.2,8.7,2.3,2.7,2.9,19.6
0500000US08031,"Denver County, Colorado",7.6,11.8,17.3,16.6,8.0,18.9,7.8,7.6,4.5,25.1
